#NAME,1-MS515F,2-MS515F,3-MS515F,38-MS515F,4-MS515F,40-MS515F,41-MS515F,42-MS515F,44-MS515F,46-MS515F,47-MS515F,48-MS515F,5-MS515F,50-MS515F,52-MS515F,53-MS515F,54-MS515F,56-MS515F,58-MS515F,59-MS515F,60-MS515F,62-MS515F,64-MS515F,65-MS515F,66-MS515F
#CLASS,CN,CN,CN,FOS,CN,T1,T2,T3,FOS,T1,T2,T3,CN,FOS,T1,T2,T3,FOS,T1,T2,T3,FOS,T1,T2,T3
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides nordii,0.0,0.008863193153310188,0.0015314311310670376,0.0011560041299526111,0.013750602292965257,0.0,0.0012482266236025449,0.0,0.007799251368361811,0.0076464563899020085,0.011007994708824523,0.0,0.0030013878455886723,0.0025113635423083596,0.008139780083991386,0.0,0.0018608261941131551,0.015321878613727974,0.03518115815449552,0.037392337252419895,0.014395397264330428,0.002465757673085265,0.0023355540528376528,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides plebeius,0.0,0.15893911772815583,0.0,0.0,0.0,0.0,0.0,0.0,0.07130117284715257,0.20366352726296882,0.31683649629136285,0.1934818536703777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides sp,0.5508177282334465,9.39493799570914,4.670218776294004,0.774327660883243,3.457429920612188,0.2827121967469406,1.0230718212406882,0.457701633476763,5.677584417354047,3.0287387915723802,11.427678654232007,3.8577566087060235,1.2695743946028393,6.813530623232803,3.3940282538227646,6.372477677291261,4.503866774668952,1.7338576888834678,3.4067830364784353,4.330245008530842,2.005802860087809,0.6155724148711377,1.7516655396333691,0.9253203681039087,0.3039254641835842
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides stercoris,0.027698881280718884,0.0,0.2496232743640844,0.05548819823757164,0.0,0.0022334263543027817,0.07988650391036253,0.036771283774179715,0.0,0.0,0.0,0.0,0.0,0.24360226360424037,0.04186172614616518,0.647751269135692,0.15630940030563734,0.0,0.0,0.0010106037095225862,0.0,0.008219192243623953,0.0,0.024247907402209813,0.011410746140446869
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides thetaiotaomicron,0.013809983544510867,0.03302391679719609,0.0574286674150895,0.045573239738405553,0.02283753877327317,0.00859010136269175,0.08401525351142079,0.012728521306474196,0.02749736059359174,0.007352361913367316,0.034778005261421135,0.004641214506062605,0.14285451765046206,0.0531249980104996,0.07379470955261251,0.11094640853150062,0.09214668172760739,0.022917339806895375,0.08118728804897185,0.059275794500996924,0.010066711373649279,0.10590113083096131,0.02245725050805435,0.0013714879752432922,0.05760232426663168
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides uniformis,0.17440036361907363,1.5385949364547822,0.7216869205173561,0.1661755936803276,1.3313083129081371,0.09212883711487269,0.2121985260111805,0.13421518577653882,0.9954877788231727,1.0800619650739398,1.8025591335670612,0.4464848354834128,0.018758674034929205,0.5540695815227873,0.3953607469371835,1.0567370792768975,0.5628999237182782,0.4905129195095728,0.5101267932408925,1.6093864074139934,0.49075217946450544,0.03595896606592683,0.014597212830250082,0.03030988425276226,0.007131716337779293
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella intestinihominis,0.04103537967504684,0.07866083923563487,0.00459429339321094,0.04739616932794178,0.051252244910134616,0.013400558125746457,0.12607088898385704,0.0308878783703435,0.03639650638572351,0.0076464563899020085,0.10221709372518877,0.00482686308630511,0.0,0.0025113635423083596,0.0,0.004569673856338154,0.0009304130970565776,0.011065801221006363,0.0,0.15967538610499898,0.009160707350004101,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Barnesiella ; Barnesiella viscericola,0.0,0.0,0.0,0.0,0.015000657046905671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014470663135236018,0.0,0.07983769305249949,0.009160707350004101,0.0,0.0,0.0,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas paravirosa,0.016414151870018736,0.03323697432489001,0.007657155655354842,0.0034680123898482274,0.011250492785179252,0.0,0.013730492859627992,0.002941702701938444,0.011265585309835496,0.0,0.037741696144580186,0.0,0.019509020996273455,0.0025113635423083596,0.0,0.011424184640798094,0.0,0.0,0.0,0.010106037095225862,0.0,0.0016438384487267113,0.0,0.005705389976991741,0.0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Porphyromonadaceae ; Butyricimonas ; Butyricimonas virosa,0.0,0.0,0.0,0.0,0.0025001095078144506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020212074190451724,0.0,0.0,0.0,0.0,0.0
