	1-MS515F	10-MS515F	12-MS515F	13-MS515F	14-MS515F	15-MS515F	16-MS515F	17-MS515F	18-MS515F	19-MS515F	2-MS515F	21-MS515F	22-MS515F	23-MS515F	24-MS515F	25-MS515F	27-MS515F	28-MS515F	29-MS515F	3-MS515F	30-MS515F	32-MS515F	33-MS515F	34-MS515F	35-MS515F	36-MS515F	37-MS515F	38-MS515F	39-MS515F	4-MS515F	5-MS515F	9-MS515F
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium scindens	0	0	0	0.194908977508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067332132577	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Clostridium symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174577957787	0	0	0	0.0227738556138	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnoclostridium ; Eubacterium contortum	0.00814571046887	0	0	0	0	0	0	0	0.00203508486304	0.00198369403503	0	0.0300192122959	0.0180115273775	0	0	0	0	0	0	0.00523733873361	0.0039587498268	0.00336660662885	0.00201231537006	0.024525690661	0.015958295654	0.0161316341345	0.0104061882133	0.00264536267922	0.00415869583299	0	0	0.00310549361821
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Lachnospira ; Lachnospira sp	0.0733113942198	0.0294074400823	0.0120868874538	0.0331345261763	1.47657110037	0.0136793558978	0.095538358651	0.103385124358	0.0936139036998	0.0952173136815	0.0137061403509	0.0540345821326	0.0400256163945	0.00162680982593	0.019625307589	0.205984158332	0	0	0	0.00174577957787	0	0	0	0	0.0984094898665	0	0	0.00529072535845	0.00415869583299	0	0	0.366448246949
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Roseburia ; Roseburia intestinalis	0.676093968916	0.00210053143445	0.00518009462306	1.97247885238	0.509740104341	0.00195419369968	0	0.782773084421	0	0.0138858582452	0.0438596491228	0	0.00200128081972	0	0.0015096390453	0.0488416045529	0.00486926035935	0.0105351875263	0.0229378842096	1.30758890383	0.698719344431	0.00504990994327	0.00603694611019	0.0455477112275	0.0797914782701	0.120987256009	0.738839363141	0.571398338712	0.461615237462	0	0	0.220490046893
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Roseburia ; Roseburia sp	0.417060376006	0.0126031886067	0.0259004731153	3.07371457529	2.43382951228	0.0156335495974	0.00636922391007	0.930466119218	0.120070006919	0.204320485608	0.660635964912	0.0320204931156	0.0860550752482	0.00976085895559	0.0105674733171	0.11042449725	0.0194770414374	0.086388537716	0	1.05445086503	0.0475049979217	0.0791152557779	0.0482955688816	0.131387628541	1.85382201181	3.00854976609	2.15754968955	0.153431035395	0.449139149963	0.0114419748849	0.0330611300294	0.658364647061
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Sellimonas ; Sellimonas intestinalis	0	0	0	0	0	0	0	0	0	0	0.0301535087719	0	0	0	0	0	0	0.0105351875263	0	0	0	0	0	0	0.00531943188467	0	0.107530611537	1.26712872335	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Tyzzerella ; Clostridium neopropionicum	0	0	0	0	0	0	0	0.0177231641756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Lachnospiraceae ; Unclassified ; Unclassified	5.68244762308	0.294074400823	0.324619263045	5.75761119557	6.14320585842	0.152427108575	0.146492149932	6.20901518284	0.360210020758	0.904564479975	8.89802631579	1.44492475184	1.39089016971	0.151293313812	0.64612551139	4.32779087299	0.248332278327	0.387694900969	0.103220478943	10.0487072502	0.973852457394	0.528557240729	0.410512335493	1.38745335739	9.76381722432	8.44491046943	14.4056332166	10.0497328184	6.59569159112	0.892474041019	0.0446325255397	5.80106207882
Bacteria ; Firmicutes ; Clostridia ; Clostridiales ; Oscillospiraceae ; Oscillibacter ; Oscillibacter sp	0.0179205630315	0	0.00172669820769	0.0448290648267	0.0215383142679	0	0	0.0384001890471	0	0.00198369403503	0	0	0	0	0	0.0106177401202	0	0	0	0.0366613711353	0.00989687456701	0.00504990994327	0.00201231537006	0.0350367009442	0.0398957391351	0.0564607194709	0.0693745880884	0.0767155176975	0.0623804374948	0	0	0.0527933915096
