	1-MS515F	2-MS515F	3-MS515F	38-MS515F	4-MS515F	40-MS515F	41-MS515F	42-MS515F	44-MS515F	46-MS515F	47-MS515F	48-MS515F	5-MS515F	50-MS515F	52-MS515F	53-MS515F	54-MS515F	56-MS515F	58-MS515F	59-MS515F	60-MS515F	62-MS515F	64-MS515F	65-MS515F	66-MS515F
Bacteria ; Actinobacteria ; Unclassified ; Unclassified ; Unclassified ; Unclassified ; Unclassified	0.00411891301885	0.181538057304	0	0.00240673886883	0.00922801096815	0	0.00872285012897	0	0.0622818898105	0.102457449574	0.216225566511	0.030454276288	0.0311954965047	0	0	0	0	0	0	0.0129621828316	0	0.00342272346106	0.00791514959633	0.0168185003504	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Anaerorhabdus ; Anaerorhabdus furcosa	0.00411891301885	0	0	0	0.00395486184349	0	0.00623060723498	0.00289335107922	0	0	0.00345960906418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caccae	0.120478205801	0.326051905552	0.059220471582	0.202166064982	0.179287070238	0.0267114401282	0.17819536692	0.00144667553961	0.335135883266	0.359365681342	0.612350804359	0.174266136537	0.0326134736185	0.0919939361743	0.0316419284317	0.152192293755	0.154119605814	0.103374292959	0.131304088332	0.410469123	0.0984871282795	0.0213920216316	0.0455121101789	0.0280308339173	0.0203293352307
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides caecicola	0	0	0	0	0	0	0	0	0	0	0	0	0.085078626831	0	0	0	0	0	0	0	0	0.0624647031643	0.0593636219725	0.14576033637	0.0929341039119
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides clarus	0.0391296736791	0	0.0264933688656	0.0565583634176	0	0	0.0610599509028	0	0	0	0.00172980453209	0	0	0.0349836095311	0.0115061557933	0.0688488947941	0.0348737794177	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides coprocola	0.0998836407072	0	1.36207084639	0.26714801444	0.00263657456233	0.0209875601007	0.441126992237	0.151900931659	0.00197720285113	0	0	0	0.107766260653	1.45635470789	0.277106585356	1.90844304868	1.27345542906	0	0	0	0	0.11380555508	0.049469684977	0.093903293623	0.0522754334505
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides eggerthii	0	0.00119432932437	0.0545451711939	0	0	0	0	0	0	0	0	0	0	0.0349836095311	0.0182180800061	0.146152917019	0.0866219682311	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides nordii	0	0.00955463459494	0.00155843346268	0.00120336943442	0.0145011600928	0	0.001246121447	0	0.00889741283007	0.00611686266114	0.0121086317246	0	0.0028359542277	0.00259137848378	0.00671192421279	0	0.00224992125276	0.0175541252194	0.0298418382572	0.0399667303974	0.0150466445983	0.00256704259579	0.00197878739908	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides plebeius	0	0.162428788114	0	0	0	0	0	0	0.0771109111939	0.154450782194	0.330392665629	0.192877083157	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria ; Bacteroidetes ; Bacteroidia ; Bacteroidales ; Bacteroidaceae ; Bacteroides ; Bacteroides sp	0.524131681649	9.60121343859	4.50543114062	0.764139590854	3.45654925121	0.228955201099	0.968236364316	0.426769284185	6.14020345417	2.29688192926	11.9166234216	3.84569833347	1.13721764531	6.66502546029	2.65312775668	6.38724483633	5.16244431445	1.88316754437	2.73948075201	4.38769888849	1.98752496375	0.607533414338	1.40691784075	0.861948142957	0.293323265472
