#NAME,A.0h,A.CN.24h,A.BC.24h,A.FC.24h,B.0h,B.CN.24h,B.BC.24h,B.FC.24h,C.0h,C.CN.24h,C.BC.24h,C.FC.24h,D.0h,D.CN.24h,D.BC.24h,D.FC.24h,E.0h,E.CN.24h,E.BC.24h,E.FC.24h
#CLASS,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,E,E,E,E
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;Subdoligranulum sp,4.065801668115205,0.7789884197527204,1.0711962788038318,0.35113321711906575,2.161982097787384,0.28168717860527276,0.49573880999208286,0.3413119672770582,0.748028114022252,0.13006086017473265,0.21832057936552335,0.1355520659267256,1.143220564679107,0.14474210679542315,0.15013653527417994,0.10352554137204288,5.253122180028518,0.40492113842305977,0.3148129197119331,0.3883017507855865
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia_obeum,0.6967571161118559,0.12313536113513382,0.1237687196037233,1.3036756011075015,0.43780458630238356,0.04982480285991779,0.08588093133766661,0.6097112146400739,1.784330099230397,0.33275310979769485,0.4066320027309904,3.8635848952807934,0.8161473397078043,0.14852602821139507,0.14616089182262365,0.4627704636284642,4.642770708087991,0.7462986065799089,0.7010156169673176,3.921232776936173
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea,0.8779221730985393,1.2752369581388603,0.821411735770066,2.8661028602494723,0.3943615493186243,0.22836367977464397,0.26383241068598273,1.611453328710324,0.29060826956805136,0.2098562945790798,0.31540046365672747,0.49631225108202165,1.5246476596093337,0.8605635439607241,2.899547125984498,2.6213771347843324,0.2015807293821499,3.0487940874464385,4.680003807202041,2.6375848744939394
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia,3.212961259809101,0.07073733512018157,0.08416272933052946,1.8338009492756973,1.2045952779187115,0.1345269677217909,0.22514730647982736,1.2256123908501075,7.732097096665056,0.23425818929757763,0.3154004636567301,7.138657239871451,4.514139078935623,0.3811233931462371,0.3364458264596365,2.1417966329471345,2.773567581089871,0.15207594247288467,0.08966478821674896,1.9770670217809359
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9,0.0,0.0,0.022978158913764087,0.0,0.13213901503602477,0.13586193606846292,0.05386533497059118,0.4022169121402039,0.0,0.0803100332507452,0.31152903487383,7.163340002545961,0.0,0.0,0.0,0.0,0.11163489760087354,0.17972719408519452,0.23645777483319524,0.34705977453273273
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus,2.132126016087883,2.740416760581915,1.2921454326629045,2.077225854046807,0.5896443272165117,0.8744252901916635,0.8518459946195682,0.7025606381893272,1.1418590414886343,1.0222175532985236,2.911589404169991,0.11181738463112215,1.443736500931405,1.280686696087007,1.1692871345810483,0.3559772797141991,1.0363082042327814,3.3569356190311606,3.3284656231975416,2.70089488754643
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia sp,0.7396005546591519,7.482501245086752,14.992418155371906,2.5450448544342206,0.2739010051964944,5.772373495990556,10.412818229755908,2.269652575648333,0.5887149079638482,9.790157760553893,8.981831385624337,0.4289760158644971,0.0,0.0,0.0,0.0,0.19429467892254304,6.855066840161944,6.229722233533246,0.8390483657559022
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005734553884667844,0.0,0.9070492675442303,3.4032077105646743,4.204469729675168,2.013348164516928,5.699695123280318,2.261425588994985,2.8513402652926576,4.227812761402967
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,0.1992551308822742,0.1427964222479489,0.0,1.2418974954789024,0.12539317943357658,0.0,0.0,0.480512031781406,0.0,0.0,0.0,0.5248895722371434,0.7623122091917189,0.20365629116186879,0.2596262654336948,1.5286712011751218,0.15436362159893566,0.0,0.0,1.956291529095917
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;Holdemanella sp,0.0,0.0,0.0,0.0,0.9316063785169334,0.14557047316312302,0.2000528496398013,0.8703349020165432,4.793094824381602,1.4349480718925345,1.0014526372295094,2.551197999455916,0.0,0.0,0.0,0.0,2.4715724887393193,0.47722419604398236,0.7720142234686969,0.8585788701129908
